,t,x,y,z
,0,0,0,0
,,,,
8932,89.32,6.53064444595,8.79355687251,23.202223252
8933,89.33,6.74598884975,9.0178219719,23.158360666
8934,89.34,6.96218216923,9.25307998096,23.1492674284
8935,89.35,7.18018973224,9.49704213236,23.1758143822
8936,89.36,7.40066719877,9.74720241026,23.2388540447
8937,89.37,7.62396935583,10.0008146545,23.3391658463
8938,89.38,7.85015589656,10.2548725412,23.477395876
8939,89.39,8.07899474426,10.5060949804,23.6539904082
8940,89.4,8.30996367048,10.7509197029,23.8691230079
8941,89.41,8.54225114891,10.985508022,24.1226156578
8942,89.42,8.77475758109,11.2057638908,24.4138551394
8943,89.43,9.00609821904,11.407370369,24.7417068335
8944,89.44,9.23460928001,11.585846386,25.1044291705
8945,89.45,9.45835888111,11.7366261565,25.4995931005
8946,89.46,9.6751644907,11.8551626898,25.9240121013
8947,89.47,9.88261856932,11.9370554747,26.3736892582
8948,89.48,10.0781239213,11.9782005942,26.8437886872
8949,89.49,10.2589399677,11.974959258,27.3286388196
8950,89.5,10.4222406534,11.9243381572,27.8217746303
8951,89.51,10.5651840071,11.8241723552,28.3160245694
8952,89.52,10.6849924858,11.6732989423,28.8036456355
8953,89.53,10.779042199,11.4717078011,29.2765066962
8954,89.54,10.8449579893,11.2206549864,29.7263159619
8955,89.55,10.8807102548,10.9227248244,30.1448838121
8956,89.56,10.8847084663,10.5818291574,30.5244074767
8957,89.57,10.8558857141,10.2031362634,30.8577600747
8958,89.58,10.7937684445,9.79292763012,31.1387639138
8959,89.59,10.6985259305,9.35838740654,31.362427374
8960,89.6,10.5709949982,8.90733616055,31.5251265168
8961,89.61,10.412677064,8.4479265751,31.6247167644
8962,89.62,10.2257064956,7.98832295552,31.6605661801
8963,89.63,10.0127914845,7.53638819721,31.6335092374
8964,89.64,9.77713075668,7.09940084983,31.5457274527
8965,89.65,9.52231128441,6.68382127355,31.4005697959
8966,89.66,9.25219347876,6.29512021926,31.2023304745
8967,89.67,8.9707909947,5.93767639716,30.9560039822
8968,89.68,8.68215222681,5.61474275805,30.667037099
8969,89.69,8.39024987324,5.3284752303,30.3410951651
8970,89.7,8.09888374378,5.0800132054,29.9838560397
8971,89.71,7.81160047617,4.86959846843,29.6008404816
8972,89.72,7.53163221011,4.6967185094,29.1972829951
8973,89.73,7.26185473507,4.56026094044,28.7780430571
8974,89.74,7.00476431559,4.45866763842,28.3475534738
8975,89.75,6.76247139054,4.39007974578,27.9098005227
8976,89.76,6.53670867065,4.35246735258,27.4683295053
8977,89.77,6.32885080622,4.3437402119,27.026269165
